run_accession	mate	url	md5	bytes
SRR11285544	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/044/SRR11285544/SRR11285544_2.fastq.gz	e0a5d93af93617623b5d1ded401457fa	739910278
SRR11285545	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/045/SRR11285545/SRR11285545_1.fastq.gz	1bb9fd3cd17fba2ff33dbfbc6271a2aa	331663290
SRR11285545	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/045/SRR11285545/SRR11285545_2.fastq.gz	4105a90ea4293d271b5e2aba7682408e	419757274
SRR11285546	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/046/SRR11285546/SRR11285546_1.fastq.gz	1d9a8d72b97c299f9df1c0afcfbf364c	705623550
SRR11285546	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/046/SRR11285546/SRR11285546_2.fastq.gz	b3d603f4db9c7d7740e59dbb97aae916	750408076
SRR11285547	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/047/SRR11285547/SRR11285547_1.fastq.gz	d05dc9176292118dc0ca759034d9c6f2	687265536
SRR11285547	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/047/SRR11285547/SRR11285547_2.fastq.gz	ea600ba30c7446d7ba3b8ef6100a6563	747855979
SRR11285548	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/048/SRR11285548/SRR11285548_1.fastq.gz	098540bbc9fbcc30d66fb888f20dbe06	240447411
SRR11285548	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/048/SRR11285548/SRR11285548_2.fastq.gz	416b418d859137f9292a0c6eb32a2747	301845896
SRR11285549	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/049/SRR11285549/SRR11285549_1.fastq.gz	f6feb7d0e76549abc29b4de1b5c6028c	1244155509
SRR11285549	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/049/SRR11285549/SRR11285549_2.fastq.gz	bcb9716446116dd7b1fdb2bd1c2becae	1439886724
SRR11285550	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/050/SRR11285550/SRR11285550_1.fastq.gz	cead35c8430b5c592cbdb34000e92248	522961870
SRR11285550	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/050/SRR11285550/SRR11285550_2.fastq.gz	ffa6785138495c8ef71b4e2be4ac9273	587454614
SRR11285551	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/051/SRR11285551/SRR11285551_1.fastq.gz	c684a6d388d32dbd60d72617a015e6c3	459808994
SRR11285551	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/051/SRR11285551/SRR11285551_2.fastq.gz	59b1885dedec81109f8d166a1d03e6ef	510538546
SRR11285552	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/052/SRR11285552/SRR11285552_1.fastq.gz	71bee66053e6379b8cf351e4d1c24b54	520811702
SRR11285552	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/052/SRR11285552/SRR11285552_2.fastq.gz	aabd9f37af53b1f737553902ce5707da	580246440
SRR11285553	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/053/SRR11285553/SRR11285553_1.fastq.gz	f8e0ce0b33bcda1b414d4329fab279db	558412051
SRR11285553	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/053/SRR11285553/SRR11285553_2.fastq.gz	66a407d0a3c9850d9cd8d28081f8deae	626164154
SRR11285554	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/054/SRR11285554/SRR11285554_1.fastq.gz	13eb29858ca5584aac672ce21588d716	433788341
SRR11285554	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/054/SRR11285554/SRR11285554_2.fastq.gz	0956aff5806a0c23cbd4f9eb94980a37	478565696
SRR11285555	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/055/SRR11285555/SRR11285555_1.fastq.gz	c7ef9244f27d95a0730f165e6555f5a5	430539850
SRR11285555	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/055/SRR11285555/SRR11285555_2.fastq.gz	f1edbeaf54964c67a50c30f197c36bcb	489752172
SRR11285556	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/056/SRR11285556/SRR11285556_1.fastq.gz	672b22d02a77025a4c48fd13f96c6250	450936566
SRR11285556	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/056/SRR11285556/SRR11285556_2.fastq.gz	06a8f4e3210192f7013497aee4c3e17b	482821837
