gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
105345480	8009.90127482949	4.61256678823891	0.551051926094589	8.37047575702903	5.7386067982553e-17	1.04178667815527e-12
117689267	376.225829273642	5.32134561453009	0.679058071807969	7.83636309684411	4.63783494778387e-15	4.2097627821034094e-11
105325126	192.915275434281	-5.28313017995893	0.715310677746428	-7.3857840296797	1.51557630485122e-13	9.17125741275632e-10
105329930	167.641681404224	5.89405335942056	0.892389086452875	6.6048021528912	3.9804857431494695e-11	1.80654345452839e-07
105338367	97.0646215610575	4.65107362082073	0.716438982946711	6.49193264399277	8.47421473681821e-11	3.07681788664395e-07
117690806	364.557540422494	5.32805471385872	0.829837634520393	6.42059903313264	1.35739129887707e-10	4.10701360663572e-07
105346137	121.031129821158	-3.76201174602442	0.606007826447535	-6.20786000088089	5.37109654407768e-10	1.39295552373123e-06
105325920	270.760855893179	2.89527382505211	0.488874004605119	5.92233131191079	3.1740933062514803e-09	7.20281123521117e-06
105317843	249.544746997291	3.93637866432271	0.670578199159376	5.87012621236015	4.35463504265951e-09	7.90540445644407e-06
105342383	379.392231943733	3.8943043095345	0.662187551765303	5.88096876655685	4.0787213452335605e-09	7.90540445644407e-06
105345693	374.116577940827	3.40938208770947	0.584854244491367	5.82945600518728	5.560835472296861e-09	8.9108156830968e-06
105346258	319.928657024802	4.73373683302591	0.813378220081078	5.81984704797486	5.8901502807734705e-09	8.9108156830968e-06
105335987	34.540484533465	-5.44425660365405	0.944643174350669	-5.76329428029408	8.24877821295663e-09	1.15191015136934e-05
105326423	234.425277574612	2.98913811110117	0.534263537574964	5.59487575114886	2.20779821867828e-08	2.67202459079237e-05
105346446	65.3643919665958	3.35328130833859	0.59908182967926	5.5973677421228	2.17630759271587e-08	2.67202459079237e-05
105341146	394.765702835079	2.28272542101294	0.411043759580706	5.55348516503811	2.80029440666498e-08	3.17728404116226e-05
136276032	194.270904280999	2.5342136644351	0.460811752357095	5.49945536647528	3.80966122512839e-08	4.06826999299887e-05
