sample_id	run_accession	sample_accession	sample_alias	condition	temp	time_post_infection	replicate_tanks	tissue	age	library_layout	instrument_model	read_count
Cg_OsHV_21_12hpc_1	SRR11285528	SAMN13474964	Cg_OsHV_21_12hpc_1	21_12h	21	12h	1	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	8082885
Cg_CTR_29_0hpc_3	SRR11285529	SAMN13474963	Cg_CTR_29_0hpc_3	29_0	29	0	3	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	8320371
Cg_CTR_29_0hpc_2	SRR11285530	SAMN13474962	Cg_CTR_29_0hpc_2	29_0	29	0	2	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	7508876
Cg_CTR_29_0hpc_1	SRR11285531	SAMN13474961	Cg_CTR_29_0hpc_1	29_0	29	0	1	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	6317038
Cg_CTR_26_0hpc_3	SRR11285532	SAMN13474960	Cg_CTR_26_0hpc_3	26_0	26	0	3	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	6428071
Cg_OsHV_29_96hpc_3	SRR11285533	SAMN13474997	Cg_OsHV_29_96hpc_3	29_96h	29	96h	3	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	7810940
Cg_OsHV_29_96hpc_2	SRR11285534	SAMN13474996	Cg_OsHV_29_96hpc_2	29_96h	29	96h	2	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	9096336
Cg_OsHV_29_96hpc_1	SRR11285535	SAMN13474995	Cg_OsHV_29_96hpc_1	29_96h	29	96h	1	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	7003541
Cg_CTR_26_0hpc_2	SRR11285536	SAMN13474959	Cg_CTR_26_0hpc_2	26_0	26	0	2	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	7602199
Cg_OsHV_26_96hpc_3	SRR11285537	SAMN13474994	Cg_OsHV_26_96hpc_3	26_96h	26	96h	3	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	7973934
Cg_OsHV_26_96hpc_2	SRR11285538	SAMN13474993	Cg_OsHV_26_96hpc_2	26_96h	26	96h	2	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	7026110
Cg_OsHV_26_96hpc_1	SRR11285539	SAMN13474992	Cg_OsHV_26_96hpc_1	26_96h	26	96h	1	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	6563392
