sample_id	run_accession	sample_accession	sample_alias	condition	temp	time_post_infection	replicate_tanks	tissue	age	library_layout	instrument_model	read_count
Cg_OsHV_21_96hpc_3	SRR11285540	SAMN13474991	Cg_OsHV_21_96hpc_3	21_96h	21	96h	3	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	8194498
Cg_OsHV_21_96hpc_2	SRR11285541	SAMN13474990	Cg_OsHV_21_96hpc_2	21_96h	21	96h	2	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	6835365
Cg_OsHV_21_96hpc_1	SRR11285542	SAMN13474989	Cg_OsHV_21_96hpc_1	21_96h	21	96h	1	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	5257225
Cg_OsHV_29_48hpc_3	SRR11285543	SAMN13474988	Cg_OsHV_29_48hpc_3	29_48h	29	48h	3	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	7496812
Cg_OsHV_29_48hpc_2	SRR11285544	SAMN13474987	Cg_OsHV_29_48hpc_2	29_48h	29	48h	2	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	8257514
Cg_OsHV_29_48hpc_1	SRR11285545	SAMN13474986	Cg_OsHV_29_48hpc_1	29_48h	29	48h	1	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	5934292
Cg_OsHV_26_48hpc_3	SRR11285546	SAMN13474985	Cg_OsHV_26_48hpc_3	26_48h	26	48h	3	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	8488187
Cg_CTR_26_0hpc_1	SRR11285547	SAMN13474958	Cg_CTR_26_0hpc_1	26_0	26	0	1	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	8644099
Cg_OsHV_26_48hpc_2	SRR11285548	SAMN13474984	Cg_OsHV_26_48hpc_2	26_48h	26	48h	2	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	4388335
Cg_OsHV_26_48hpc_1	SRR11285549	SAMN13474983	Cg_OsHV_26_48hpc_1	26_48h	26	48h	1	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	18644503
Cg_OsHV_21_48hpc_3	SRR11285550	SAMN13474982	Cg_OsHV_21_48hpc_3	21_48h	21	48h	3	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	8841265
Cg_OsHV_21_48hpc_2	SRR11285551	SAMN13474981	Cg_OsHV_21_48hpc_2	21_48h	21	48h	2	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	7799605
Cg_OsHV_21_48hpc_1	SRR11285552	SAMN13474980	Cg_OsHV_21_48hpc_1	21_48h	21	48h	1	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	9017377
Cg_OsHV_29_24hpc_3	SRR11285553	SAMN13474979	Cg_OsHV_29_24hpc_3	29_24h	29	24h	3	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	9912632
Cg_OsHV_29_24hpc_2	SRR11285554	SAMN13474978	Cg_OsHV_29_24hpc_2	29_24h	29	24h	2	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	7828308
Cg_OsHV_29_24hpc_1	SRR11285555	SAMN13474977	Cg_OsHV_29_24hpc_1	29_24h	29	24h	1	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	7398706
Cg_OsHV_26_24hpc_2	SRR11285556	SAMN13474976	Cg_OsHV_26_24hpc_2	26_24h	26	24h	2	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	7508341
Cg_OsHV_26_24hpc_1	SRR11285557	SAMN13474975	Cg_OsHV_26_24hpc_1	26_24h	26	24h	1	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	9909978
Cg_CTR_21_0hpc_3	SRR11285558	SAMN13474957	Cg_CTR_21_0hpc_3	21_0	21	0	3	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	8157216
Cg_OsHV_21_24hpc_3	SRR11285559	SAMN13474974	Cg_OsHV_21_24hpc_3	21_24h	21	24h	3	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	7211199
Cg_OsHV_21_24hpc_2	SRR11285560	SAMN13474973	Cg_OsHV_21_24hpc_2	21_24h	21	24h	2	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	7799327
Cg_OsHV_21_24hpc_1	SRR11285561	SAMN13474972	Cg_OsHV_21_24hpc_1	21_24h	21	24h	1	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	7556428
Cg_OsHV_29_12hpc_3	SRR11285562	SAMN13474971	Cg_OsHV_29_12hpc_3	29_12h	29	12h	3	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	7320975
Cg_OsHV_29_12hpc_2	SRR11285563	SAMN13474970	Cg_OsHV_29_12hpc_2	29_12h	29	12h	2	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	7467530
Cg_OsHV_29_12hpc_1	SRR11285564	SAMN13474969	Cg_OsHV_29_12hpc_1	29_12h	29	12h	1	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	7092830
Cg_OsHV_26_12hpc_2	SRR11285565	SAMN13474968	Cg_OsHV_26_12hpc_2	26_12h	26	12h	2	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	6522700
Cg_OsHV_26_12hpc_1	SRR11285566	SAMN13474967	Cg_OsHV_26_12hpc_1	26_12h	26	12h	1	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	6797326
Cg_OsHV_21_12hpc_3	SRR11285567	SAMN13474966	Cg_OsHV_21_12hpc_3	21_12h	21	12h	3	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	8296695
Cg_OsHV_21_12hpc_2	SRR11285568	SAMN13474965	Cg_OsHV_21_12hpc_2	21_12h	21	12h	2	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	10577457
Cg_CTR_21_0hpc_2	SRR11285569	SAMN13474956	Cg_CTR_21_0hpc_2	21_0	21	0	2	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	6750828
Cg_CTR_21_0hpc_1	SRR11285570	SAMN13474955	Cg_CTR_21_0hpc_1	21_0	21	0	1	Whole animal	8 months	PAIRED	Illumina HiSeq 4000	6801827
