# AREE gene identifier crosswalk — Magallana gigas (Crassostrea gigas), Pacific oyster (NCBI taxid 29159)
# Built by src/mappings/build_crosswalk.py v1.0.0 on 2026-08-27
# Sources: NCBI Gene (gene_info) and UniProtKB. See the .provenance.json
# sidecar for source URLs, checksums, and coverage statistics.
# Current NCBI reference annotation at build time: GCF_963853765.1 (xbMagGiga1.1), annotation release GCF_963853765.1-RS_2024_06
# NOTE: orthogroup_id is intentionally empty — real orthogroups require an
# ortholog inference run and are not fabricated here.
ncbi_gene_id	ensembl_gene_id	uniprot_accession	uniprot_accessions_all	locus_id	gene_symbol	gene_synonyms	gene_description	gene_type	orthogroup_id
105317081	ENSBDJG00000019570	A0A8W8MI77	A0A8W8MI77	LOC105317081	LOC105317081		uncharacterized LOC105317081	protein-coding	
105317082				LOC105317082	LOC105317082		multiple epidermal growth factor-like domains protein 10	protein-coding	
105317090	ENSBDJG00000004034			LOC105317090	LOC105317090		protein YIPF1	protein-coding	
105317091	ENSBDJG00000006795			LOC105317091	LOC105317091		afadin- and alpha-actinin-binding protein	protein-coding	
105317092		A0A8W8M225	A0A8W8M225	LOC105317092	LOC105317092		uncharacterized LOC105317092	protein-coding	
105317094	ENSBDJG00000004057			LOC105317094	LOC105317094		uncharacterized LOC105317094	protein-coding	
105317098	ENSBDJG00000004320			LOC105317098	LOC105317098		polyglutamine-binding protein 1	protein-coding	
105317101	ENSBDJG00000000560			LOC105317101	LOC105317101		UPF0489 protein C5orf22 homolog	protein-coding	
105317102	ENSBDJG00000018592			LOC105317102	LOC105317102		major vault protein	protein-coding	
105317104				LOC105317104	LOC105317104		uncharacterized LOC105317104	protein-coding	
105317106				LOC105317106	LOC105317106		uncharacterized LOC105317106	protein-coding	
105317108	ENSBDJG00000007663			LOC105317108	LOC105317108		uncharacterized LOC105317108	protein-coding	
105317109	ENSBDJG00000006568			LOC105317109	LOC105317109		thrombospondin type-1 domain-containing protein 4	protein-coding	
105317113	ENSBDJG00000016637	A0A8W8MU73	A0A8W8MU73	LOC105317113	LOC105317113		large ribosomal subunit protein uL1	protein-coding	
105317114	ENSBDJG00000016554			LOC105317114	LOC105317114		ubiquitin carboxyl-terminal hydrolase 47	protein-coding	
105317115				LOC105317115	LOC105317115		uncharacterized LOC105317115	ncRNA	
105317116				LOC105317116	LOC105317116		uncharacterized LOC105317116	ncRNA	
105317117				LOC105317117	LOC105317117		uncharacterized LOC105317117	protein-coding	
105317118				LOC105317118	LOC105317118		uncharacterized LOC105317118	protein-coding	
105317119	ENSBDJG00000017446			LOC105317119	LOC105317119		uncharacterized LOC105317119	protein-coding	
105317120	ENSBDJG00000014120			LOC105317120	LOC105317120		dual specificity protein phosphatase 22	protein-coding	
105317121				LOC105317121	LOC105317121		probable cytochrome P450 CYP44	protein-coding	
105317122				LOC105317122	LOC105317122		carbonic anhydrase 3	protein-coding	
105317123	ENSBDJG00000016369			LOC105317123	LOC105317123		cytochrome P450 10	protein-coding	
105317124		A0A8W8MMW7	A0A8W8MMW7	LOC105317124	LOC105317124		uncharacterized LOC105317124	protein-coding	
105317125	ENSBDJG00000016577			LOC105317125	LOC105317125		phospholipid scramblase 1	protein-coding	
105317126				LOC105317126	LOC105317126		phospholipase A(2)	protein-coding	
105317127				LOC105317127	LOC105317127		uncharacterized LOC105317127	protein-coding	
105317128				LOC105317128	LOC105317128		uncharacterized LOC105317128	protein-coding	
105317131				LOC105317131	LOC105317131		uncharacterized LOC105317131	protein-coding	
105317134				LOC105317134	LOC105317134		uncharacterized LOC105317134	protein-coding	
105317136				LOC105317136	LOC105317136		microphthalmia-associated transcription factor	protein-coding	
105317137				LOC105317137	LOC105317137		uncharacterized LOC105317137	protein-coding	
105317138				LOC105317138	LOC105317138		asialoglycoprotein receptor 1	protein-coding	
105317143				LOC105317143	LOC105317143		guanylate cyclase soluble subunit beta-2-like	protein-coding	
105317144				LOC105317144	LOC105317144		multiple epidermal growth factor-like domains protein 6	protein-coding	
105317147				LOC105317147	LOC105317147		uncharacterized LOC105317147	protein-coding	
105317153				LOC105317153	LOC105317153		holothin acyltransferase	protein-coding	
105317154	ENSBDJG00000021777			LOC105317154	LOC105317154		insulin-like growth factor 2 mRNA-binding protein 2	protein-coding	
105317155	ENSBDJG00000021189			LOC105317155	LOC105317155		pyruvate dehydrogenase protein X component, mitochondrial	protein-coding	
105317156	ENSBDJG00000019841			LOC105317156	LOC105317156		ubiquinol-cytochrome-c reductase complex assembly factor 1	protein-coding	
105317160				LOC105317160	LOC105317160		uncharacterized LOC105317160	protein-coding	
105317162	ENSBDJG00000014712			LOC105317162	LOC105317162		adenosylhomocysteinase A	protein-coding	
105317163				LOC105317163	LOC105317163		probable G-protein coupled receptor No18	protein-coding	
105317164	ENSBDJG00000022242	A0A482CVZ8	A0A482CVZ8;A0A8W8NDH0	LOC105317164	LOC105317164	hedgehog	sonic hedgehog protein	protein-coding	
105317166				LOC105317166	LOC105317166		uncharacterized LOC105317166	ncRNA	
105317167	ENSBDJG00000019875			LOC105317167	LOC105317167		uncharacterized LOC105317167	protein-coding	
105317168				LOC105317168	LOC105317168		uncharacterized LOC105317168	protein-coding	
105317169	ENSBDJG00000008316			LOC105317169	LOC105317169		protein mono-ADP-ribosyltransferase PARP16	protein-coding	
105317170	ENSBDJG00000007851			LOC105317170	LOC105317170		uncharacterized LOC105317170	protein-coding	
105317171				LOC105317171	LOC105317171		angiopoietin-4	protein-coding	
105317172	ENSBDJG00000010279			LOC105317172	LOC105317172		adenylate kinase isoenzyme 6	protein-coding	
105317173	ENSBDJG00000008687			LOC105317173	LOC105317173		uncharacterized protein PF3D7_1120000	protein-coding	
105317174	ENSBDJG00000006918			LOC105317174	LOC105317174		G2/mitotic-specific cyclin-B	protein-coding	
105317177	ENSBDJG00000010187	A0A8W8HVD5	A0A8W8HVD5	LOC105317177	LOC105317177		cilia- and flagella-associated protein 53	protein-coding	
105317178	ENSBDJG00000022939			LOC105317178	LOC105317178		coenzyme Q-binding protein COQ10 homolog B, mitochondrial	protein-coding	
105317179	ENSBDJG00000009647			LOC105317179	LOC105317179		DNA polymerase kappa	protein-coding	
105317181	ENSBDJG00000006991			LOC105317181	LOC105317181		ceramide transfer protein	protein-coding	
105317183	ENSBDJG00000009919			LOC105317183	LOC105317183		uncharacterized LOC105317183	protein-coding	
105317184				LOC105317184	LOC105317184		uncharacterized LOC105317184	ncRNA	
105317185	ENSBDJG00000007061			LOC105317185	LOC105317185		uncharacterized protein KIAA0825	protein-coding	
105317186	ENSBDJG00000007243			LOC105317186	LOC105317186		ribosome biogenesis protein NSA2 homolog	protein-coding	
105317187				LOC105317187	LOC105317187		G-protein coupled receptor GRL101	protein-coding	
105317188	ENSBDJG00000010951			LOC105317188	LOC105317188		E3 ubiquitin-protein ligase MIB2	protein-coding	
105317198				LOC105317198	LOC105317198		uncharacterized LOC105317198	ncRNA	
105317200				LOC105317200	LOC105317200		uncharacterized LOC105317200	protein-coding	
105317207				LOC105317207	LOC105317207		G-protein coupled receptor GRL101	protein-coding	
105317209				LOC105317209	LOC105317209		glycogen-binding subunit 76A	protein-coding	
105317210	ENSBDJG00000013337	A0A8W8K7L2	A0A8W8K7L2;A0A8W8K7V8;A0A8W8KAE9;A0A8W8KBD6;A0A8W8KBE0;A0A8W8KE24	LOC105317210	LOC105317210		NF-kappa-B inhibitor-interacting Ras-like protein 1	protein-coding	
105317211				LOC105317211	LOC105317211		probable G-protein coupled receptor 139	protein-coding	
105317213	ENSBDJG00000014839			LOC105317213	LOC105317213		uncharacterized LOC105317213	protein-coding	
105317217	ENSBDJG00000001860			LOC105317217	LOC105317217		transmembrane protein 164	protein-coding	
105317218	ENSBDJG00000000338			LOC105317218	LOC105317218		uncharacterized LOC105317218	protein-coding	
105317219	ENSBDJG00000001266	A0A8W8J1G8	A0A8W8J1G8;A0A8W8J2G1	LOC105317219	LOC105317219		methylosome subunit pICln	protein-coding	
105317220	ENSBDJG00000002920			LOC105317220	LOC105317220		lysine-specific demethylase 6A	protein-coding	
105317221	ENSBDJG00000003089			LOC105317221	LOC105317221		FUN14 domain-containing protein 1	protein-coding	
105317222				LOC105317222	LOC105317222		uncharacterized LOC105317222	protein-coding	
105317224	ENSBDJG00000002355			LOC105317224	LOC105317224		cell division cycle protein 16 homolog	protein-coding	
105317227				LOC105317227	LOC105317227		uncharacterized LOC105317227	protein-coding	
105317228	ENSBDJG00000003467	A0A8W8IWK3	A0A8W8IWK3	LOC105317228	LOC105317228		exocyst complex component 6B	protein-coding	
105317229	ENSBDJG00000001258			LOC105317229	LOC105317229		sepiapterin reductase-like	protein-coding	
105317230	ENSBDJG00000003910			LOC105317230	LOC105317230		uncharacterized LOC105317230	protein-coding	
105317232				LOC105317232	LOC105317232		cyclic nucleotide-binding domain-containing protein 2	protein-coding	
105317233	ENSBDJG00000003666			LOC105317233	LOC105317233		sodium-dependent multivitamin transporter	protein-coding	
105317234	ENSBDJG00000001889			LOC105317234	LOC105317234		sodium-coupled monocarboxylate transporter 1	protein-coding	
105317235				LOC105317235	LOC105317235		uncharacterized LOC105317235	protein-coding	
105317236	ENSBDJG00000000712	A0A8W8MVK2	A0A8W8MVK2	LOC105317236	LOC105317236		protein shisa-5	protein-coding	
105317237		A0A8W8MVI9	A0A8W8MVI9	LOC105317237	LOC105317237		uncharacterized LOC105317237	protein-coding	
105317238				LOC105317238	LOC105317238		XK-related protein 9	protein-coding	
105317239				LOC105317239	LOC105317239		XK-related protein 9	protein-coding	
105317241				LOC105317241	LOC105317241		uncharacterized LOC105317241	protein-coding	
105317248	ENSBDJG00000001012			LOC105317248	LOC105317248		uncharacterized LOC105317248	protein-coding	
105317251				LOC105317251	LOC105317251		T-box transcription factor T-A	protein-coding	
105317252				LOC105317252	LOC105317252		tripartite motif-containing protein 2	protein-coding	
105317253	ENSBDJG00000005191			LOC105317253	LOC105317253		large ribosomal subunit protein mL42	protein-coding	
105317254				LOC105317254	LOC105317254		uncharacterized LOC105317254	protein-coding	
105317255	ENSBDJG00000005388			LOC105317255	LOC105317255		acylamino-acid-releasing enzyme	protein-coding	
105317256				LOC105317256	LOC105317256		protein wech	protein-coding	
105317257	ENSBDJG00000006083			LOC105317257	LOC105317257		protein DD3-3	protein-coding	
105317258				LOC105317258	LOC105317258		protein wech	protein-coding	
105317260	ENSBDJG00000007978			LOC105317260	LOC105317260		protein DD3-3	protein-coding	
105317261	ENSBDJG00000008283			LOC105317261	LOC105317261		angiopoietin-related protein 6	protein-coding	
105317263				LOC105317263	LOC105317263		plexin-A2	protein-coding	
105317264		A0A8W8NTG2	A0A8W8NTG2	LOC105317264	LOC105317264		uncharacterized LOC105317264	protein-coding	
105317266				LOC105317266	LOC105317266		receptor for retinol uptake stra6	protein-coding	
105317269				LOC105317269	LOC105317269		uncharacterized LOC105317269	protein-coding	
105317280				LOC105317280	LOC105317280		protein starmaker	protein-coding	
105317286		Q0KHB8	Q0KHB8	LOC105317286	G6pd		glucose-6-phosphate dehydrogenase	protein-coding	
105317288				LOC105317288	LOC105317288		uncharacterized LOC105317288	ncRNA	
105317291				LOC105317291	LOC105317291		peroxidase-like protein	protein-coding	
105317292				LOC105317292	LOC105317292		hepatic lectin	protein-coding	
105317296				LOC105317296	LOC105317296		semaphorin-5A	protein-coding	
105317298				LOC105317298	LOC105317298		SCO-spondin	protein-coding	
105317299				LOC105317299	LOC105317299		uncharacterized LOC105317299	protein-coding	
105317300				LOC105317300	LOC105317300		protein SpAN	protein-coding	
105317301				LOC105317301	LOC105317301		uncharacterized LOC105317301	protein-coding	
105317302				LOC105317302	LOC105317302		uncharacterized LOC105317302	protein-coding	
105317307	ENSBDJG00000019642			LOC105317307	LOC105317307		kelch domain-containing protein 9	protein-coding	
105317308				LOC105317308	LOC105317308		low-density lipoprotein receptor-related protein 1B	protein-coding	
105317309	ENSBDJG00000011649			LOC105317309	LOC105317309		uncharacterized LOC105317309	protein-coding	
105317310				LOC105317310	LOC105317310		uncharacterized LOC105317310	protein-coding	
105317311				LOC105317311	LOC105317311		uncharacterized LOC105317311	protein-coding	
105317313				LOC105317313	LOC105317313		uncharacterized LOC105317313	protein-coding	
105317314				LOC105317314	LOC105317314		uncharacterized LOC105317314	protein-coding	
105317315				LOC105317315	LOC105317315		uncharacterized LOC105317315	protein-coding	
105317316	ENSBDJG00000013639			LOC105317316	LOC105317316		large ribosomal subunit protein bL17m	protein-coding	
105317317				LOC105317317	LOC105317317		neuronal acetylcholine receptor subunit alpha-10	protein-coding	
105317319				LOC105317319	LOC105317319		titin homolog	protein-coding	
105317322	ENSBDJG00000020147			LOC105317322	LOC105317322		doublecortin domain-containing protein 1	protein-coding	
105317326		A0A8W8MVV2	A0A8W8MVV2	LOC105317326	LOC105317326		ankyrin repeat domain-containing protein 7	protein-coding	
105317327				LOC105317327	LOC105317327		contactin-2	protein-coding	
105317333				LOC105317333	LOC105317333		uncharacterized LOC105317333	ncRNA	
105317334				LOC105317334	LOC105317334		uncharacterized LOC105317334	protein-coding	
105317335	ENSBDJG00000018783			LOC105317335	LOC105317335		sulfotransferase 1C4	protein-coding	
105317337	ENSBDJG00000020454			LOC105317337	LOC105317337		sulfotransferase 1C4	protein-coding	
105317338	ENSBDJG00000021561			LOC105317338	LOC105317338		serine-rich adhesin for platelets	protein-coding	
105317339		A0A8W8MWR4	A0A8W8MWR4	LOC105317339	LOC105317339		cytochrome c oxidase assembly protein COX18, mitochondrial	protein-coding	
105317340	ENSBDJG00000014755			LOC105317340	LOC105317340		transmembrane protein 231	protein-coding	
105317341	ENSBDJG00000021459			LOC105317341	LOC105317341		tyrosine-protein phosphatase non-receptor type 5	protein-coding	
105317342	ENSBDJG00000021372	A0A8W8MPG7	A0A8W8MPG7	LOC105317342	LOC105317342		F-box only protein 47	protein-coding	
105317343	ENSBDJG00000022835			LOC105317343	LOC105317343		elongator complex protein 4	protein-coding	
105317344	ENSBDJG00000019812			LOC105317344	LOC105317344		G-protein coupled receptor 83	protein-coding	
105317345	ENSBDJG00000023249	A0A8W8MRJ6	A0A8W8MRJ6	LOC105317345	LOC105317345		cytochrome b-c1 complex subunit 7	protein-coding	
105317346	ENSBDJG00000020003			LOC105317346	LOC105317346		NPC intracellular cholesterol transporter 1	protein-coding	
105317347	ENSBDJG00000019982			LOC105317347	LOC105317347		eukaryotic translation initiation factor 4 gamma 2	protein-coding	
105317349				LOC105317349	LOC105317349		kelch-like protein 3	protein-coding	
105317350				LOC105317350	LOC105317350		interleukin-6 receptor subunit beta	protein-coding	
105317352		A0A8W8J185	A0A8W8J185	LOC105317352	LOC105317352		uncharacterized LOC105317352	protein-coding	
105317353	ENSBDJG00000002474			LOC105317353	LOC105317353		armadillo repeat-containing protein 1	protein-coding	
105317354	ENSBDJG00000002786	A0A8W8J126	A0A8W8J126	LOC105317354	LOC105317354		regulator of MON1-CCZ1 complex	protein-coding	
105317355	ENSBDJG00000002410			LOC105317355	LOC105317355		mitochondrial fission regulator 2	protein-coding	
105317356				LOC105317356	LOC105317356		uncharacterized LOC105317356	protein-coding	
105317360	ENSBDJG00000007931			LOC105317360	LOC105317360		ras-GEF domain-containing family member 1B	protein-coding	
105317362				LOC105317362	LOC105317362		substance-K receptor	protein-coding	
105317363		A0A8W8K703	A0A8W8K703	LOC105317363	LOC105317363		uncharacterized LOC105317363	protein-coding	
105317364				LOC105317364	LOC105317364		protein Wnt-8a	protein-coding	
105317365				LOC105317365	LOC105317365		dynein axonemal heavy chain 3	protein-coding	
105317366				LOC105317366	LOC105317366		uncharacterized LOC105317366	ncRNA	
105317368	ENSBDJG00000000521			LOC105317368	LOC105317368		uncharacterized LOC105317368	protein-coding	
105317369	ENSBDJG00000001660			LOC105317369	LOC105317369		UPAR/Ly6 domain-containing protein crok	protein-coding	
105317370		A0A8W8K085	A0A8W8K085	LOC105317370	LOC105317370		prostaglandin E2 receptor EP4 subtype	protein-coding	
105317371	ENSBDJG00000005411			LOC105317371	LOC105317371		oxidized purine nucleoside triphosphate hydrolase	protein-coding	
105317372				LOC105317372	LOC105317372		E3 ubiquitin-protein ligase PDZRN3-B	protein-coding	
105317373				LOC105317373	LOC105317373		uncharacterized LOC105317373	protein-coding	
105317384				LOC105317384	LOC105317384		inactive serine/threonine-protein kinase 19	protein-coding	
105317385	ENSBDJG00000004438			LOC105317385	LOC105317385		decapping and exoribonuclease protein	protein-coding	
105317386	ENSBDJG00000006228			LOC105317386	LOC105317386		ZZ-type zinc finger-containing protein 3	protein-coding	
105317388				LOC105317388	LOC105317388		beta-1,3-galactosyltransferase 5	protein-coding	
105317389				LOC105317389	LOC105317389		neuropeptide FF receptor 2	protein-coding	
105317390				LOC105317390	LOC105317390		neuromedin-U receptor 2	protein-coding	
105317391				LOC105317391	LOC105317391		rhodopsin, GQ-coupled	protein-coding	
105317392	ENSBDJG00000005304			LOC105317392	LOC105317392		p53 and DNA damage-regulated protein 1	protein-coding	
105317393	ENSBDJG00000014149			LOC105317393	LOC105317393		peroxisomal membrane protein PEX14	protein-coding	
105317394	ENSBDJG00000014457			LOC105317394	LOC105317394		cell division cycle-associated protein 3	protein-coding	
105317395	ENSBDJG00000014393			LOC105317395	LOC105317395		ubiquitin carboxyl-terminal hydrolase 5	protein-coding	
105317396	ENSBDJG00000015373			LOC105317396	LOC105317396	Tensin-4	uncharacterized LOC105317396	protein-coding	
105317397	ENSBDJG00000023306			LOC105317397	LOC105317397		dynactin subunit 2	protein-coding	
105317399				LOC105317399	LOC105317399		neuromedin-U receptor 2-like	protein-coding	
105317400	ENSBDJG00000009145	A0A8W8HSE3	A0A8W8HSE3	LOC105317400	LOC105317400		signal recognition particle 14 kDa protein	protein-coding	
105317401				LOC105317401	LOC105317401		golgin subfamily A member 6-like protein 22	protein-coding	
105317402	ENSBDJG00000002840	A0A8W8N5F9	A0A8W8N5F9	LOC105317402	LOC105317402		ubiquitin-conjugating enzyme E2 2	protein-coding	
105317404	ENSBDJG00000000387			LOC105317404	LOC105317404		sodium-coupled monocarboxylate transporter 1	protein-coding	
105317406	ENSBDJG00000008065			LOC105317406	LOC105317406		early endosome antigen 1	protein-coding	
105317408	ENSBDJG00000009136			LOC105317408	LOC105317408		SUMO-activating enzyme subunit 1	protein-coding	
105317409	ENSBDJG00000010791			LOC105317409	LOC105317409		zinc finger CCCH domain-containing protein 14	protein-coding	
105317410	ENSBDJG00000009170			LOC105317410	LOC105317410		hypothetical protein	protein-coding	
105317411				LOC105317411	LOC105317411		uncharacterized LOC105317411	protein-coding	
105317412				LOC105317412	LOC105317412		uncharacterized LOC105317412	protein-coding	
105317413		A0A8W8I4H5	A0A8W8I4H5	LOC105317413	LOC105317413		serine/arginine repetitive matrix protein 2	protein-coding	
105317414				LOC105317414	LOC105317414		testis-specific gene A8 protein-like	protein-coding	
105317415				LOC105317415	LOC105317415		uncharacterized LOC105317415	ncRNA	
105317416	ENSBDJG00000008056			LOC105317416	LOC105317416		micronuclear linker histone polyprotein	protein-coding	
105317417				LOC105317417	LOC105317417		very long chain fatty acid elongase 4	protein-coding	
105317418	ENSBDJG00000012997			LOC105317418	LOC105317418		myogenesis-regulating glycosidase	protein-coding	
105317419	ENSBDJG00000011473			LOC105317419	LOC105317419		transmembrane protein 179B	protein-coding	
105317420	ENSBDJG00000013371			LOC105317420	LOC105317420		uncharacterized LOC105317420	protein-coding	
105317421				LOC105317421	LOC105317421		uncharacterized LOC105317421	protein-coding	
105317425				LOC105317425	LOC105317425		uncharacterized LOC105317425	protein-coding	
105317430				LOC105317430	LOC105317430		adhesion G protein-coupled receptor B1	protein-coding	
105317436	ENSBDJG00000008689			LOC105317436	LOC105317436		uncharacterized LOC105317436	protein-coding	
105317438				LOC105317438	LOC105317438		uncharacterized LOC105317438	protein-coding	
105317439	ENSBDJG00000008401			LOC105317439	LOC105317439		deoxyribose-phosphate aldolase	protein-coding	
105317441				LOC105317441	LOC105317441		isatin hydrolase	protein-coding	
105317443				LOC105317443	LOC105317443		uncharacterized LOC105317443	ncRNA	
105317444				LOC105317444	LOC105317444		uncharacterized LOC105317444	protein-coding	
105317447				LOC105317447	LOC105317447		uncharacterized LOC105317447	protein-coding	
105317448	ENSBDJG00000010665			LOC105317448	LOC105317448		tRNA (32-2'-O)-methyltransferase regulator THADA	protein-coding	
105317450				LOC105317450	LOC105317450		uncharacterized LOC105317450	protein-coding	
105317451				LOC105317451	LOC105317451		uncharacterized LOC105317451	ncRNA	
105317453				LOC105317453	LOC105317453		uncharacterized LOC105317453	protein-coding	
105317460				LOC105317460	LOC105317460		uncharacterized LOC105317460	protein-coding	
105317465	ENSBDJG00000010244			LOC105317465	LOC105317465		iron-sulfur cluster assembly 2 homolog, mitochondrial	protein-coding	
105317467				LOC105317467	LOC105317467		olfactory receptor 2AT4	protein-coding	
105317468	ENSBDJG00000014587			LOC105317468	LOC105317468		cephalotocin receptor 1	protein-coding	
105317469	ENSBDJG00000014201			LOC105317469	LOC105317469		zinc finger CCHC domain-containing protein 8	protein-coding	
105317470	ENSBDJG00000014715			LOC105317470	LOC105317470		ester hydrolase C11orf54 homolog	protein-coding	
105317471				LOC105317471	LOC105317471		ankyrin repeat and death domain-containing protein 1B	protein-coding	
105317472	ENSBDJG00000012954			LOC105317472	LOC105317472		phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform	protein-coding	
105317473	ENSBDJG00000007589			LOC105317473	LOC105317473		protein expanded	protein-coding	
105317475	ENSBDJG00000018432			LOC105317475	LOC105317475		uncharacterized LOC105317475	protein-coding	
105317477	ENSBDJG00000017024			LOC105317477	LOC105317477		protein HGH1 homolog	protein-coding	
105317478	ENSBDJG00000017291			LOC105317478	LOC105317478		replication factor C subunit 2	protein-coding	
105317479	ENSBDJG00000015501			LOC105317479	LOC105317479		coiled-coil domain-containing protein 74B	protein-coding	
105317480	ENSBDJG00000015092			LOC105317480	LOC105317480		probable ATP-dependent RNA helicase DHX37	protein-coding	
105317481				LOC105317481	LOC105317481		protein FAM133B	protein-coding	
105317482	ENSBDJG00000014951	A0A8W8JZF3	A0A8W8JZF3	LOC105317482	LOC105317482		vacuolar protein sorting-associated protein 53 homolog	protein-coding	
105317483				LOC105317483	LOC105317483		uncharacterized LOC105317483	ncRNA	
105317484				LOC105317484	LOC105317484		uncharacterized LOC105317484	protein-coding	
105317485				LOC105317485	LOC105317485		uncharacterized LOC105317485	protein-coding	
105317487				LOC105317487	LOC105317487		coadhesin	protein-coding	
105317488				LOC105317488	LOC105317488		uncharacterized LOC105317488	protein-coding	
105317489	ENSBDJG00000021841			LOC105317489	LOC105317489		vitellogenin-2	protein-coding	
105317490	ENSBDJG00000007300	A0A8W8HS73	A0A8W8HS73	LOC105317490	LOC105317490		exocyst complex component 5	protein-coding	
105317491	ENSBDJG00000021393			LOC105317491	LOC105317491		uncharacterized LOC105317491	protein-coding	
105317492	ENSBDJG00000022234	A0A8W8N2F6	A0A8W8N2F6	LOC105317492	LOC105317492		KRR1 small subunit processome component homolog	protein-coding	
105317493				LOC105317493	LOC105317493		prolyl 4-hydroxylase subunit alpha-1	protein-coding	
105317494				LOC105317494	LOC105317494		uncharacterized LOC105317494	protein-coding	
105317495				LOC105317495	LOC105317495		prolyl 4-hydroxylase subunit alpha-1	protein-coding	
105317496	ENSBDJG00000021893	A0A8W8N376	A0A8W8N376	LOC105317496	LOC105317496		MORN repeat-containing protein 2	protein-coding	
105317497	ENSBDJG00000020963			LOC105317497	LOC105317497		dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	protein-coding	
105317498				LOC105317498	LOC105317498		uncharacterized LOC105317498	protein-coding	
105317499	ENSBDJG00000009203			LOC105317499	LOC105317499		kxDL motif-containing protein 1	protein-coding	
105317500	ENSBDJG00000019613			LOC105317500	LOC105317500		uridine 5'-monophosphate synthase	protein-coding	
105317501	ENSBDJG00000018734			LOC105317501	LOC105317501		transmembrane 7 superfamily member 3	protein-coding	
