# AREE gene identifier crosswalk — Magallana gigas (Crassostrea gigas), Pacific oyster (NCBI taxid 29159)
# Built by src/mappings/build_crosswalk.py v1.0.0 on 2026-08-27
# Sources: NCBI Gene (gene_info) and UniProtKB. See the .provenance.json
# sidecar for source URLs, checksums, and coverage statistics.
# Current NCBI reference annotation at build time: GCF_963853765.1 (xbMagGiga1.1), annotation release GCF_963853765.1-RS_2024_06
# NOTE: orthogroup_id is intentionally empty — real orthogroups require an
# ortholog inference run and are not fabricated here.
ncbi_gene_id	ensembl_gene_id	uniprot_accession	uniprot_accessions_all	locus_id	gene_symbol	gene_synonyms	gene_description	gene_type	orthogroup_id
808825		Q9T7K9	Q9T7K9	LOC808825	CYTB		cytochrome b	protein-coding	
808826				LOC808826	ND2		NADH dehydrogenase subunit 2	protein-coding	
808827				LOC808827	ATP6		ATP synthase F0 subunit 6	protein-coding	
808828		Q9T7K8	Q9T7K8	LOC808828	COX2		cytochrome c oxidase subunit II	protein-coding	
808829		Q9T7J9	Q9T7J9	LOC808829	COX1		cytochrome c oxidase subunit I	protein-coding	
808830		Q9T7K3	Q9T7K3	LOC808830	ND6		NADH dehydrogenase subunit 6	protein-coding	
808831		Q9T7K0	Q9T7K0	LOC808831	ND4L		NADH dehydrogenase subunit 4L	protein-coding	
808832				LOC808832	ND5		NADH dehydrogenase subunit 5	protein-coding	
808833				LOC808833	ND4		NADH dehydrogenase subunit 4	protein-coding	
808834				LOC808834	ND3		NADH dehydrogenase subunit 3	protein-coding	
808835		C3S780	C3S780	LOC808835	COX3		cytochrome c oxidase subunit III	protein-coding	
808836		C3S789	C3S789	LOC808836	ND1		NADH dehydrogenase subunit 1	protein-coding	
23678646				LOC23678646	NEWENTRY		Record to support submission of GeneRIFs for a gene not in Gene (Crassostrea gigas; Ostrea gigas; Pacific oyster).	other	
105317035	ENSBDJG00000014904			LOC105317035	LOC105317035		D-aspartate oxidase	protein-coding	
105317040				LOC105317040	LOC105317040		uncharacterized LOC105317040	protein-coding	
105317043				LOC105317043	LOC105317043		uncharacterized LOC105317043	ncRNA	
105317044	ENSBDJG00000018372			LOC105317044	LOC105317044	IRP1	cytoplasmic aconitate hydratase	protein-coding	
105317051				LOC105317051	LOC105317051		uncharacterized LOC105317051	protein-coding	
105317052				LOC105317052	LOC105317052		uncharacterized LOC105317052	ncRNA	
105317054	ENSBDJG00000002155	A0A8W8JMI8	A0A8W8JMI8	LOC105317054	LOC105317054	Whirlin	PDZ domain-containing protein 11	protein-coding	
105317055	ENSBDJG00000003400			LOC105317055	LOC105317055		intraflagellar transport protein 56	protein-coding	
105317056	ENSBDJG00000004272			LOC105317056	LOC105317056		uncharacterized LOC105317056	protein-coding	
105317057	ENSBDJG00000002232			LOC105317057	LOC105317057		wings apart-like protein homolog	protein-coding	
105317059				LOC105317059	LOC105317059		uncharacterized LOC105317059	protein-coding	
105317060				LOC105317060	LOC105317060		uncharacterized LOC105317060	protein-coding	
105317061	ENSBDJG00000003172	A0A286SBX9	A0A286SBX9;A0A8W8ILG9	LOC105317061	LOC105317061	mlc	myosin essential light chain, striated adductor muscle	protein-coding	
105317063				LOC105317063	LOC105317063		B-cell receptor CD22	protein-coding	
105317066	ENSBDJG00000010043			LOC105317066	LOC105317066		uncharacterized LOC105317066	protein-coding	
105317071				LOC105317071	LOC105317071		uncharacterized LOC105317071	protein-coding	
105317076	ENSBDJG00000000302			LOC105317076	LOC105317076		DNA-dependent protein kinase catalytic subunit	protein-coding	
105317077	ENSBDJG00000003279			LOC105317077	LOC105317077		mitogen-activated protein kinase kinase kinase kinase 4	protein-coding	
105317079				LOC105317079	LOC105317079		uncharacterized LOC105317079	protein-coding	
105317080				LOC105317080	LOC105317080		uncharacterized LOC105317080	protein-coding	
