run_accession	mate	url	md5	bytes
SRR35422866	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/066/SRR35422866/SRR35422866_1.fastq.gz	3116ce4e3752d185963621a81d9af1ef	2521043251
SRR35422866	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/066/SRR35422866/SRR35422866_2.fastq.gz	da9992b7214f8d7a736a01ecc761cd35	2608521795
SRR35422867	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/067/SRR35422867/SRR35422867_1.fastq.gz	e0f92acdb4ca29e7cd91425408fde34c	2308913833
SRR35422867	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/067/SRR35422867/SRR35422867_2.fastq.gz	2574fa32b518118e8eaafc619c125fcb	2391747490
SRR35422868	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/068/SRR35422868/SRR35422868_1.fastq.gz	3cb5588cc0568151c491fae4d8fb847a	2873076345
SRR35422868	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/068/SRR35422868/SRR35422868_2.fastq.gz	961c6988994bcd4a819d6ece0ab05b09	2942473033
SRR35422869	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/069/SRR35422869/SRR35422869_1.fastq.gz	5f555caca01bcabbdcf9e01357781a10	2479456795
SRR35422869	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/069/SRR35422869/SRR35422869_2.fastq.gz	eb07a3450225d39358998974d4f0755f	2573489295
SRR35422870	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/070/SRR35422870/SRR35422870_1.fastq.gz	7efdb4b25982deab4d00de205e122c16	2458567810
SRR35422870	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/070/SRR35422870/SRR35422870_2.fastq.gz	3de8d64ab6890fdc1e0200d20567a857	2513158278
SRR35422871	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/071/SRR35422871/SRR35422871_1.fastq.gz	03d81e19e7b1aca75ae9e375bbf0eb6f	3232546834
SRR35422871	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/071/SRR35422871/SRR35422871_2.fastq.gz	b68f764bce7a9153f81c4bcca3631316	3346959146
