gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
105337716	1610.9311210916	4.96148128699291	0.193954158126269	25.5806904833815	2.5023719392389902e-144	6.7544023383939e-140
105341503	3472.39951749513	5.85014374190559	0.236446264612663	24.7419588188	3.78409076043307e-135	5.10700889028046e-131
105327470	1327.93758585167	3.53224613453565	0.157108592685409	22.4828322509931	6.11133599530686e-112	5.49857270617743e-108
105333664	1957.09732512723	5.51399165605897	0.249400939554379	22.1089450020164	2.59258751424816e-108	1.74947805461466e-104
136276560	589.271962055645	6.57271022106223	0.307463336897534	21.3772161825352	2.1773642417251198e-101	1.1754283122528902e-97
105323406	952.401760736334	4.18327387435391	0.209969292057032	19.9232651278247	2.5575720281938803e-88	1.15056640308348e-84
136270488	397.725477337714	4.05543025236773	0.203840693084861	19.8950964647643	4.48743466892772e-88	1.73035480833853e-84
105320376	1497.49161443249	5.44350014160096	0.274158969657849	19.8552691834028	9.922942941259991e-88	3.34800094838112e-84
105335618	1079.26772047665	4.19619399719662	0.213690493736943	19.6367836669525	7.500044783935849e-86	2.24934676453329e-82
105345174	674.045904631457	8.24045498801903	0.421024413520186	19.5723922969705	2.65902047187136e-85	7.17722805767519e-82
136269478	517.125540097093	4.21529656873087	0.216894101024442	19.4348142656763	3.91829832824629e-84	9.61479167963853e-81
105325250	1002.04183683803	6.47678447058891	0.334147354700842	19.3830188372657	1.0736028834185099e-83	2.41489075243603e-80
105324585	436.591834524854	5.48653541830504	0.285526624475287	19.2154949766512	2.74602795289771e-82	5.701598961893459e-79
105336295	616.227697895468	4.1320794507409	0.216370298096846	19.097258205428	2.66098812216416e-81	5.130385099532499e-78
105347939	660.172320613818	5.84206518240884	0.312673987379455	18.6842059723984	6.656185960330299e-78	1.1977584762749001e-74
117684475	568.866563831533	4.77676873254994	0.259115298435734	18.4349158902892	6.892584576460061e-76	1.16277901804881e-72
105344970	1113.81906862173	3.61593015376578	0.205906818989935	17.561002454914	4.90021457725462e-69	7.78038775701509e-66
105332473	2817.45524869973	2.53070304623298	0.144959110559978	17.4580475587692	2.9898626115313e-68	4.48346508946961e-65
109619932	346.813129399477	5.6514205156758	0.326536086429072	17.3071851796796	4.15223880727344e-67	5.89880157294341e-64
105342241	341.194752583062	6.72507108028872	0.390716860878558	17.2121342937872	2.15346737057972e-66	2.90631956333439e-63
105330279	1102.98877933286	3.93424066958568	0.229711831631768	17.1268525510359	9.35824257858024e-66	1.20284611276685e-62
105321257	2173.61754498959	4.42546131728205	0.260328513063707	16.9995259650988	8.2786652211687e-65	1.01571696204448e-61
105334872	285.518459867598	5.72829184341188	0.339150320608074	16.890126576149	5.31887770295968e-64	6.24204986775164e-61
105340146	2722.8424043026	2.99142910910605	0.177460854153267	16.8568393484822	9.3454811386327e-64	1.05105511205822e-60
105323546	8325.83688300507	3.51840545557718	0.210950529262076	16.6788178625807	1.86880508409616e-62	2.01771147319694e-59
105349012	12924.9910092636	2.2690512101874	0.139723642103088	16.2395653021504	2.64793848067541e-59	2.74896751809195e-56
117689278	2126.66696670806	3.10788455627766	0.191592215703502	16.2213508772572	3.56271801079618e-59	3.56166239064483e-56
105344246	3729.59265398429	2.29200013874861	0.14286808058932	16.0427726703843	6.42219337364254e-58	6.1909944121914096e-55
109617455	1429.28858809715	3.04414141993809	0.194175138408026	15.6772975412606	2.1626144315050597e-55	2.0128720253511903e-52
105348059	810.654995056915	3.02321404589497	0.194271352575834	15.5618108682023	1.32302063469204e-54	1.19036576572026e-51
136270277	905.127084721638	3.21549676179353	0.208010276062277	15.4583553402469	6.626900615784151e-54	5.77010649745954e-51
105334191	1809.80805976505	1.7833465050412	0.11557068114529	15.4307864881341	1.01624206310402e-53	8.57200180228241e-51
105337989	1990.81973254773	3.68579416565575	0.239391658383852	15.3965020775526	1.72765540027172e-53	1.41311741103437e-50
117689263	3858.08530783126	3.01032950358129	0.195547596062097	15.3943569964693	1.78590958113553e-53	1.41780210041207e-50
105319712	2584.54338950079	3.27998906532456	0.214554059864757	15.2874714530785	9.26792205174861e-53	7.14742148630853e-50
136273192	1032.64691816533	7.09053478434754	0.469391362730574	15.1058058314069	1.48282481124639e-51	1.1117890918100699e-48
