sample_id	run_accession	sample_accession	sample_alias	condition	breed	viral_strain	dev_stage	tissue	geo_loc_name	collection_date	isolation_source	library_layout	instrument_model	read_count
YA_CT_6	SRR35422882	SAMN51396520	YA_CT_6	Myagi_Control	Myagi	Control	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	38978309
YA_CT_5	SRR35422883	SAMN51396519	YA_CT_5	Myagi_Control	Myagi	Control	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	35813365
DO_AU_4	SRR35422884	SAMN51396492	DO_AU_4	Midori_Australia	Midori	Australia	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	37687305
YA_CT_4	SRR35422885	SAMN51396518	YA_CT_4	Myagi_Control	Myagi	Control	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	30393360
YA_CT_3	SRR35422886	SAMN51396517	YA_CT_3	Myagi_Control	Myagi	Control	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	42054026
YA_CT_2	SRR35422887	SAMN51396516	YA_CT_2	Myagi_Control	Myagi	Control	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	35392627
YA_CT_1	SRR35422888	SAMN51396515	YA_CT_1	Myagi_Control	Myagi	Control	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	32093408
YA_AU_5	SRR35422889	SAMN51396514	YA_AU_5	Myagi_Australia	Myagi	Australia	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	35025715
YA_AU_4	SRR35422890	SAMN51396513	YA_AU_4	Myagi_Australia	Myagi	Australia	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	35812512
YA_AU_3	SRR35422891	SAMN51396512	YA_AU_3	Myagi_Australia	Myagi	Australia	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	34325844
YA_AU_2	SRR35422892	SAMN51396511	YA_AU_2	Myagi_Australia	Myagi	Australia	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	38438898
YA_AU_1	SRR35422893	SAMN51396510	YA_AU_1	Myagi_Australia	Myagi	Australia	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	37878043
DO_SD_5	SRR35422894	SAMN51396509	DO_SD_5	Midori_USA	Midori	USA	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	42133197
DO_AU_3	SRR35422895	SAMN51396491	DO_AU_3	Midori_Australia	Midori	Australia	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	39136076
DO_SD_4	SRR35422896	SAMN51396508	DO_SD_4	Midori_USA	Midori	USA	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	38699265
DO_SD_3	SRR35422897	SAMN51396507	DO_SD_3	Midori_USA	Midori	USA	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	40556500
DO_SD_2	SRR35422898	SAMN51396506	DO_SD_2	Midori_USA	Midori	USA	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	29239962
DO_SD_1	SRR35422899	SAMN51396505	DO_SD_1	Midori_USA	Midori	USA	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	35800902
DO_FR_5	SRR35422900	SAMN51396504	DO_FR_5	Midori_France	Midori	France	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	39477453
DO_FR_4	SRR35422901	SAMN51396503	DO_FR_4	Midori_France	Midori	France	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	44825682
DO_FR_3	SRR35422902	SAMN51396502	DO_FR_3	Midori_France	Midori	France	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	36148765
DO_FR_2	SRR35422903	SAMN51396501	DO_FR_2	Midori_France	Midori	France	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	37792319
DO_FR_1	SRR35422904	SAMN51396500	DO_FR_1	Midori_France	Midori	France	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	43203958
DO_CT_6	SRR35422905	SAMN51396499	DO_CT_6	Midori_Control	Midori	Control	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	33879283
DO_AU_2	SRR35422906	SAMN51396490	DO_AU_2	Midori_Australia	Midori	Australia	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	29319705
DO_AU_1	SRR35422907	SAMN51396489	DO_AU_1	Midori_Australia	Midori	Australia	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	34028306
