sample_id	run_accession	sample_accession	sample_alias	condition	breed	viral_strain	dev_stage	tissue	geo_loc_name	collection_date	isolation_source	library_layout	instrument_model	read_count
DO_CT_5	SRR35422866	SAMN51396498	DO_CT_5	Midori_Control	Midori	Control	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	35387676
DO_CT_4	SRR35422867	SAMN51396497	DO_CT_4	Midori_Control	Midori	Control	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	32165693
DO_CT_3	SRR35422868	SAMN51396496	DO_CT_3	Midori_Control	Midori	Control	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	40254130
DO_CT_2	SRR35422869	SAMN51396495	DO_CT_2	Midori_Control	Midori	Control	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	34458955
DO_CT_1	SRR35422870	SAMN51396494	DO_CT_1	Midori_Control	Midori	Control	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	34285817
YA_SD_5	SRR35422871	SAMN51396530	YA_SD_5	Myagi_USA	Myagi	USA	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	45891346
YA_SD_4	SRR35422872	SAMN51396529	YA_SD_4	Myagi_USA	Myagi	USA	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	38899887
DO_AU_5	SRR35422873	SAMN51396493	DO_AU_5	Midori_Australia	Midori	Australia	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	38771717
YA_SD_3	SRR35422874	SAMN51396528	YA_SD_3	Myagi_USA	Myagi	USA	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	36234710
YA_SD_2	SRR35422875	SAMN51396527	YA_SD_2	Myagi_USA	Myagi	USA	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	39139798
YA_SD_1	SRR35422876	SAMN51396526	YA_SD_1	Myagi_USA	Myagi	USA	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	39039658
YA_FR_5	SRR35422877	SAMN51396525	YA_FR_5	Myagi_France	Myagi	France	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	40298716
YA_FR_4	SRR35422878	SAMN51396524	YA_FR_4	Myagi_France	Myagi	France	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	35275567
YA_FR_3	SRR35422879	SAMN51396523	YA_FR_3	Myagi_France	Myagi	France	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	37004584
YA_FR_2	SRR35422880	SAMN51396522	YA_FR_2	Myagi_France	Myagi	France	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	39365013
YA_FR_1	SRR35422881	SAMN51396521	YA_FR_1	Myagi_France	Myagi	France	spat	soft tissues	USA:Newport,Oregon	2023-05-04	hatchery reared	PAIRED	Illumina NovaSeq 6000	39553982
